course_title,course_code,prerequisites,section,session,credits,campus,instructor,times,location,course_description,themes,year,semester,restriction,course_level,course_type
PEER MENTORING,PEER001,No prerequisite(s) for this course,1BAB,6w,0,AUA Main Campus,Mariam Mikhaylova,MON 12:30pm-1:20pm,Classroom 610M Main Building,Not specified,Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Other,Peer Mentoring course
PEER MENTORING,PEER001,No prerequisite(s) for this course,1CSDSES,6w,0,AUA Main Campus,Mariam Mikhaylova,MON 2:30pm-3:20pm,Classroom 208M Main Building,Not specified,Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Other,Peer Mentoring course
PEER MENTORING,PEER001,No prerequisite(s) for this course,1EC,6w,0,AUA Main Campus,Mariam Mikhaylova,WED 12:30pm-1:20pm,Classroom 610M Main Building,Not specified,Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Other,Peer Mentoring course
PEER MENTORING,PEER001,No prerequisite(s) for this course,1ESS,6w,0,AUA Main Campus,Mariam Mikhaylova,MON 12:30pm-1:20pm,Classroom 214M Main Building,Not specified,Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Other,Peer Mentoring course
PEER MENTORING,PEER001,No prerequisite(s) for this course,1PG,6w,0,AUA Main Campus,Mariam Mikhaylova,WED 9:30am-10:20am,Classroom 202M Main Building,Not specified,Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Other,Peer Mentoring course
PEER MENTORING,PEER001,No prerequisite(s) for this course,20CSDSES,6w,0,AUA Main Campus,Mariam Mikhaylova,MON 1:30pm-2:20pm,Classroom 612M Main Building,Not specified,Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Other,Peer Mentoring course
PEER MENTORING,PEER001,No prerequisite(s) for this course,2BAB,6w,0,AUA Main Campus,Mariam Mikhaylova,MON 11:30am-12:20pm,Classroom 610M Main Building,Not specified,Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Other,Peer Mentoring course
PEER MENTORING,PEER001,No prerequisite(s) for this course,2CSDSES,6w,0,AUA Main Campus,Mariam Mikhaylova,MON 9:30am-10:20am,Classroom 202M Main Building,Not specified,Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Other,Peer Mentoring course
PEER MENTORING,PEER001,No prerequisite(s) for this course,2EC,6w,0,AUA Main Campus,Mariam Mikhaylova,TUE 3:00pm-3:50pm,Classroom 610M Main Building,Not specified,Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Other,Peer Mentoring course
PEER MENTORING,PEER001,No prerequisite(s) for this course,2ESS,6w,0,AUA Main Campus,Mariam Mikhaylova,MON 2:30pm-3:20pm,Classroom 214M Main Building,Not specified,Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Other,Peer Mentoring course
PEER MENTORING,PEER001,No prerequisite(s) for this course,2PG,6w,0,AUA Main Campus,Mariam Mikhaylova,TUE 4:30pm-5:20pm,Classroom 608M Main Building,Not specified,Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Other,Peer Mentoring course
PEER MENTORING,PEER001,No prerequisite(s) for this course,3BAB,6w,0,AUA Main Campus,Mariam Mikhaylova,MON 1:30pm-2:20pm,Classroom 610M Main Building,Not specified,Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Other,Peer Mentoring course
PEER MENTORING,PEER001,No prerequisite(s) for this course,3CSDSES,6w,0,AUA Main Campus,Mariam Mikhaylova,THU 12:00pm-12:50pm,Classroom 610M Main Building,Not specified,Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Other,Peer Mentoring course
PEER MENTORING,PEER001,No prerequisite(s) for this course,3EC,6w,0,AUA Main Campus,Mariam Mikhaylova,WED 2:30pm-3:20pm,Classroom 610M Main Building,Not specified,Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Other,Peer Mentoring course
PEER MENTORING,PEER001,No prerequisite(s) for this course,3PG,6w,0,AUA Main Campus,Mariam Mikhaylova,MON 2:30pm-3:20pm,Classroom 204M Main Building,Not specified,Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Other,Peer Mentoring course
PEER MENTORING,PEER001,No prerequisite(s) for this course,4BAB,6w,0,AUA Main Campus,Mariam Mikhaylova,FRI 11:30am-12:20pm,Classroom 610M Main Building,Not specified,Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Other,Peer Mentoring course
PEER MENTORING,PEER001,No prerequisite(s) for this course,4CS DS ES,6w,0,AUA Main Campus,Mariam Mikhaylova,TUE 12:00pm-12:50pm,Classroom 208M Main Building,Not specified,Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Other,Peer Mentoring course
PEER MENTORING,PEER001,No prerequisite(s) for this course,4EC,6w,0,AUA Main Campus,Mariam Mikhaylova,WED 10:30am-11:20am,Classroom 610M Main Building,Not specified,Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Other,Peer Mentoring course
PEER MENTORING,PEER001,No prerequisite(s) for this course,5BAB,6w,0,AUA Main Campus,Mariam Mikhaylova,WED 11:30am-12:20pm,Classroom 612M Main Building,Not specified,Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Other,Peer Mentoring course
PEER MENTORING,PEER001,No prerequisite(s) for this course,5CS DS ES,6w,0,AUA Main Campus,Mariam Mikhaylova,MON 2:30pm-3:20pm,Classroom 610M Main Building,Not specified,Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Other,Peer Mentoring course
PEER MENTORING,PEER001,No prerequisite(s) for this course,5EC,6w,0,AUA Main Campus,Mariam Mikhaylova,THU 3:00pm-3:50pm,Classroom 610M Main Building,Not specified,Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Other,Peer Mentoring course
PEER MENTORING,PEER001,No prerequisite(s) for this course,6BAB,6w,0,AUA Main Campus,Mariam Mikhaylova,FRI 2:30pm-3:20pm,Classroom 610M Main Building,Not specified,Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Other,Peer Mentoring course
PEER MENTORING,PEER001,No prerequisite(s) for this course,6CSDSES,6w,0,AUA Main Campus,Mariam Mikhaylova,MON 1:30pm-2:20pm,Classroom 206M Main Building,Not specified,Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Other,Peer Mentoring course
PEER MENTORING,PEER001,No prerequisite(s) for this course,6EC,6w,0,AUA Main Campus,Mariam Mikhaylova,TUE 12:00pm-12:50pm,Classroom 610M Main Building,Not specified,Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Other,Peer Mentoring course
PEER MENTORING,PEER001,No prerequisite(s) for this course,7BAB,6w,0,AUA Main Campus,Mariam Mikhaylova,WED 1:30pm-2:20pm,Classroom 610M Main Building,Not specified,Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Other,Peer Mentoring course
PEER MENTORING,PEER001,No prerequisite(s) for this course,7CSDSES,6w,0,AUA Main Campus,Mariam Mikhaylova,TUE 1:30pm-2:20pm,Classroom 202M Main Building,Not specified,Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Other,Peer Mentoring course
PEER MENTORING,PEER001,No prerequisite(s) for this course,7EC,6w,0,AUA Main Campus,Mariam Mikhaylova,TUE 12:00pm-12:50pm,Classroom 206M Main Building,Not specified,Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Other,Peer Mentoring course
PEER MENTORING,PEER001,No prerequisite(s) for this course,8BAB,6w,0,AUA Main Campus,Mariam Mikhaylova,THU 2:00pm-2:50pm,Classroom 204M Main Building,Not specified,Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Other,Peer Mentoring course
PEER MENTORING,PEER001,No prerequisite(s) for this course,8CSDSES,6w,0,AUA Main Campus,Mariam Mikhaylova,MON 2:30pm-3:20pm,Classroom 206M Main Building,Not specified,Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Other,Peer Mentoring course
PEER MENTORING,PEER001,No prerequisite(s) for this course,8EC,6w,0,AUA Main Campus,Mariam Mikhaylova,TUE 1:30pm-2:20pm,Classroom 610M Main Building,Not specified,Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Other,Peer Mentoring course
PEER MENTORING,PEER001,No prerequisite(s) for this course,9BAB,6w,0,AUA Main Campus,Mariam Mikhaylova,TUE 12:00pm-12:50pm,Classroom 204M Main Building,Not specified,Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Other,Peer Mentoring course
PEER MENTORING,PEER001,No prerequisite(s) for this course,9CSDSES,15W,0,AUA Main Campus,Mariam Mikhaylova,THU 12:00pm-12:50pm,Classroom 208M Main Building,Not specified,Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Other,Peer Mentoring course
INTRODUCTION TO POLITICS AND GOVERNANCE,PG101,No prerequisite(s) for this course,0,15W,3,AUA Main Campus,Uroš Prokić,"TUE 1:30pm-2:50pm, THU 1:30pm-2:50pm",Small Auditorium Main Building,"The purpose of this course is to introduce students to the relationship between politics and governance. The course takes an interdisciplinary perspective on politics, borrowing concepts from political and social theory, to help students understand how political ideas and systems are used to build the procedural and institutional foundations needed for successful societies – measured in terms of life-style, prosperity, health, technological advancement and a number of other variables. Students are encouraged to think broadly, critically, and comparatively as they assess a number of normative approaches to politics and governance.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Lower level,Politics and Governance Program's core or track elective course
INTRODUCTION TO POLITICAL INQUIRY,PG102,No prerequisite(s) for this course,A,15W,3,AUA Main Campus,Yevgenya Paturyan,"MON 10:30am-11:20am, WED 10:30am-11:20am, FRI 10:30am-11:20am",Classroom 212M Main Building,"This entry-level course is designed for beginners with no experience in social science research. It starts with basic questions, such as ""what is research, hypothesis, variables, unit of analysis, reliability, validity?"" and so on. The course introduces students to types of research (academic, applied, conceptual, empirical, deductive, inductive, quantitative, qualitative) and the main stages of the research design (formulating a research question, conducting a literature review, choosing an appropriate research method, assessing the results). Instructor-led class may include lectures, discussions, case studies, readings, group work. Assessment may include class participation, papers, essays, exams, and presentations.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Lower level,Politics and Governance Program's core or track elective course
INTRODUCTION TO POLITICAL INQUIRY,PG102,No prerequisite(s) for this course,B,15W,3,AUA Main Campus,Hayarpi Papikyan,"TUE 10:30am-11:50am, THU 10:30am-11:50am",Classroom 315E Paramaz Avedissian Building,"This entry-level course is designed for beginners with no experience in social science research. It starts with basic questions, such as ""what is research, hypothesis, variables, unit of analysis, reliability, validity?"" and so on. The course introduces students to types of research (academic, applied, conceptual, empirical, deductive, inductive, quantitative, qualitative) and the main stages of the research design (formulating a research question, conducting a literature review, choosing an appropriate research method, assessing the results). Instructor-led class may include lectures, discussions, case studies, readings, group work. Assessment may include class participation, papers, essays, exams, and presentations.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Lower level,Politics and Governance Program's core or track elective course
PUBLIC ADMINISTRATION,PG204,No prerequisite(s) for this course,0,15W,3,AUA Main Campus,Brian Ellison,"TUE 4:30pm-5:50pm, THU 4:30pm-5:50pm",Classroom 313W Paramaz Avedissian Building,"Governments are composed of different types of political branches – legislative, executive, and judicial – that are designed to distribute values and decide what government should do. The doing of government is conducted by the administrative state – the offices, bureaus, agencies, departments, etc. – that house experts who deliver public goods and services. The purpose of this course is to examine the history of administrative statecraft and look at the ideas that have been used to build it. This examination will be both theoretical and practical as we think about what it takes to put a man on the moon, win a war, deliver the mail, and effectively and efficiently deliver public goods and services. Though the course will take a fundamentally American perspective, every effort will be made to contextualize ideas to the Armenian context.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Upper level,Politics and Governance Program's core or track elective course
POLITICAL IDEOLOGIES,PG205,No prerequisite(s) for this course,0,15W,3,AUA Main Campus,Asbed Kotchikian,"TUE 3:00pm-4:20pm, THU 3:00pm-4:20pm",Classroom 113W Paramaz Avedissian Building,"Ideas matter! They are the foundations of values, beliefs and principles, both at individual and
collective levels. Ideologies have shaped not only societal fabrics, but also government systems as well as political and economic frameworks that regulate and govern countries. The goal of this course is to introduce students to classic (such as liberalism, conservatism, socialism, feminism, etc.) and contemporary (such as environmentalism) political ideologies and the way they influence political processes, policies and personal value systems. Through lectures and theoretical-conceptual discussions, students will have the possibility to critically think about the origins, evolution and current relevance of ideologies. The course will also explore real-life examples of ideological underpinnings of documents (textual analysis), decisions (policy analysis), narratives and community structures.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Upper level,Politics and Governance Program's core or track elective course
POLITICAL SOCIOLOGY,PG206,No prerequisite(s) for this course,0,15W,3,AUA Main Campus,Hayarpi Papikyan,"TUE 1:30pm-2:50pm, THU 1:30pm-2:50pm",Classroom 114W Paramaz Avedissian Building,"This course applies a sociological approach to explore how human societies are organized
and governed and how individuals and groups interact with institutions of power. In particular, the course looks at how class, caste, race, ethnicity, and gender intersect with the perceptions of power, authority, identity, and representation to influence and shape political systems. The course goes beyond internal mechanics and features of political structures and institutions to explore broader perceptions of power, the formation of the state, social and political change, and state-society relations. Throughout the semester, students will engage in sustained inquiry on a political-sociological topic of their choice, combining empirical investigation with social theory. This will be accompanied by ongoing assessment of close reading and mastery of theoretical texts.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Upper level,Politics and Governance Program's core or track elective course
HISTORY AND PRACTICE OF MODERN DIPLOMACY,PG209,No prerequisite(s) for this course,0,15W,3,AUA Main Campus,Asbed Kotchikian,"TUE 10:30am-11:50am, THU 10:30am-11:50am",Classroom 113W Paramaz Avedissian Building,"In the context of international relations, diplomacy is the art of implementing foreign policy by states or non-state actors. This course provides an overview of the evolution and practice of modern diplomacy by examining the institutions, strategies, practices, norms and laws related to diplomacy. Topics discussed include but are not limited to the origins of modern diplomacy; theories and concepts of diplomacy; diplomatic techniques and strategies. With the conclusion of the course, students are expected to have a solid grasp of how to analyze diplomatic practices in the contemporary world.In the context of international relations, diplomacy is the art of implementing foreign policy by states or non-state actors. This course provides an overview of the evolution and practice of modern diplomacy by examining the institutions, strategies, practices, norms and laws related to diplomacy. Topics discussed include but are not limited to the origins of modern diplomacy; theories and concepts of diplomacy; diplomatic techniques and strategies. With the conclusion of the course, students are expected to have a solid grasp of how to analyze diplomatic practices in the contemporary world.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Upper level,Politics and Governance Program's core or track elective course
POLITICAL COMMUNCATION,PG210,No prerequisite(s) for this course,A,15W,3,AUA Main Campus,Hovhannes Nikoghosyan,"TUE 12:00pm-1:20pm, THU 12:00pm-1:20pm",Classroom 315E Paramaz Avedissian Building,"This course examines the intricate relationship between politics and communication in domestic and international arenas and the role of mass media in modern politics. Students will explore how language, media, and technology shape political discourse, public opinion, and political processes. Topics discussed include but are not limited to the role of media in functioning and fragile democracies as well as authoritarian and hybrid regimes; media and modern warfare; social networks and movements; political campaigning; “post-truth politics,” with a view of helping students to understand how governments function in the age of media revolution.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Upper level,Politics and Governance Program's core or track elective course
POLITICAL COMMUNCATION,PG210,No prerequisite(s) for this course,B,15W,3,AUA Main Campus,Samvel Farmanyan,"MON 11:30am-12:20pm, WED 11:30am-12:20pm, FRI 11:30am-12:20pm",Classroom 212M Main Building,"This course examines the intricate relationship between politics and communication in domestic and international arenas and the role of mass media in modern politics. Students will explore how language, media, and technology shape political discourse, public opinion, and political processes. Topics discussed include but are not limited to the role of media in functioning and fragile democracies as well as authoritarian and hybrid regimes; media and modern warfare; social networks and movements; political campaigning; “post-truth politics,” with a view of helping students to understand how governments function in the age of media revolution.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Upper level,Politics and Governance Program's core or track elective course
INTERNATIONAL ORGANIZATIONS,PG211,No prerequisite(s) for this course,A,15W,3,AUA Main Campus,Armen Mazmanyan,"TUE 9:00am-10:20am, THU 9:00am-10:20am",Classroom 214M Main Building,"The course discusses key international organizations and how they shape international cooperation, particularly in the fields of peace and security, development, finance and trade, and human rights protection. The focus is on major supranational and intergovernmental organizations which play a significant role in international and regional affairs. The course will explore the historical origins, institutional specifics and the main functions and operations of these organizations and will attempt to analyze their role and influence on political and economic development in the world in general and its various parts.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Upper level,Politics and Governance Program's core or track elective course
INTERNATIONAL ORGANIZATIONS,PG211,No prerequisite(s) for this course,B,15W,3,AUA Main Campus,Erik Davtyan,"MON 12:30pm-1:20pm, WED 12:30pm-1:20pm, FRI 12:30pm-1:20pm",Classroom 212M Main Building,"The course discusses key international organizations and how they shape international cooperation, particularly in the fields of peace and security, development, finance and trade, and human rights protection. The focus is on major supranational and intergovernmental organizations which play a significant role in international and regional affairs. The course will explore the historical origins, institutional specifics and the main functions and operations of these organizations and will attempt to analyze their role and influence on political and economic development in the world in general and its various parts.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Upper level,Politics and Governance Program's core or track elective course
INTERNSHIP,PG230,No prerequisite(s) for this course,0,15W,3,AUA Main Campus,Yevgenya Paturyan,"MON 3:30pm-4:20pm, WED 3:30pm-4:20pm, FRI 3:30pm-4:20pm",To Be Determined To Be Determined,"This 3-credit internship provides undergraduate students with an opportunity to gain practical experience and professional development in the field of Politics and Governance or social science research through a supervised internship. Students will apply knowledge and skills learned in the classroom to real-world work environments, fostering career exploration, networking, and professional growth. The internship has to include no less than 120 hours of work at the host organization. At the end of the internship, students submit a report that summarizes their internship experience and relates it explicitly to BAPG curriculum, reflecting on the knowledge and skills gained. This course does not meet face-to-face on a regular basis.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Upper level,Politics and Governance Program's core or track elective course
BASICS OF HEALTHY LIFESTYLE,PH101,No prerequisite(s) for this course,0,15W,3,AUA Main Campus,Anya Agopian,"MON 1:30pm-2:20pm, WED 1:30pm-2:20pm, FRI 1:30pm-2:20pm",Classroom 213W Paramaz Avedissian Building,"The course provides an overview of concepts and issues related to mental, social, and physical dimensions of health with a focus on healthy behaviors and lifestyle. The course emphasizes preventive health practices which reduce risk factors associated with disease. The course enables students to analyze the relationship between healthy lifestyle and health and builds knowledge and skills to recognize and cope with health problems that they may face during their college years and later in life. Main topics include behavior change, mental health, stress and stress management, nutrition, addictions, physical exercise, and sexual behavior and STIs.",This course belongs to theme 7.,202425,1,"No restrictions, except that any prerequisites must already be completed",Lower level,Public Health Program's core or track elective course
GLOBAL HEALTH,PH201,No prerequisite(s) for this course,0,15W,3,AUA Main Campus,Lusine Musheghyan,"TUE 3:00pm-4:15pm, THU 3:00pm-4:15pm",Classroom 114W Paramaz Avedissian Building,"This multidisciplinary course is designed to explore global health and how it impacts all of us globally and locally. The course develops skillsets for interpreting, developing and using global health indicators and methods, and to explore the application of measures to improve the wellbeing of people globally and locally. The course will include an exploration of topics including leading causes of death, disease and disability, mental health, socioeconomic impacts on health, maternal and child health, media and health, disasters and war (including earthquakes and genocide), climatic change, gender equity and humanitarianism. The course will confer theory and practice for developing and measuring indicators of health and wellbeing. Students will be graded based on quizzes and exams, group projects with reallife problems, oral presentations and participation.","This course belongs to themes 4, 7.",202425,1,"No restrictions, except that any prerequisites must already be completed",Upper level,Public Health Program's core or track elective course
HUMAN NUTRITION AND HEALTH,PH203,No prerequisite(s) for this course,0,15W,3,AUA Main Campus,Kim Hekimian,"TUE 4:30pm-5:45pm, THU 4:30pm-5:45pm",Classroom 114W Paramaz Avedissian Building,"Poor-quality diet is one of the leading causes of death and disease world-wide and in Armenia. The course will explore this phenomenon and ask students to think about how to improve nutrition for themselves, their families and their communities. Students will learn evidenced-based dietary guidelines, how to assess their diets, and explore the social and environmental determinants of eating behaviors.  They will also learn how health and agricultural policies can affect dietary behavior. Students will apply this knowledge in both individual and group assignments.","This course belongs to themes 6, 7.",202425,1,"No restrictions, except that any prerequisites must already be completed",Upper level,Public Health Program's core or track elective course
PUBLIC HEALTH PROBLEM SOLVING,PH302,No prerequisite(s) for this course,0,15w,3,AUA Main Campus,Tsovinar Harutyunyan,Not specified,Not specified,"An introduction to the diverse profession of public health and a guiding paradigm for public health problems solving, this course imparts foundational public health knowledge and begins developing essential skills in critical thinking and group process. Student groups will identify and analyze current public health problems, justifying recommended courses of action. Evaluation components consist of individual and group written and oral assignments. Prerequisite: None. Restricted to MPH students or program permission.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Masters level,Public Health Program's core or track elective course
SOCIAL AND BEHAVIORAL SCIENCES IN PUBLIC HEALTH,PH310,No prerequisite(s) for this course,0,15w,3,AUA Main Campus,Tsovinar Harutyunyan,Not specified,Not specified,"This course reviews the importance of behavioral and social determinants as contributors to current public health problems worldwide and in Armenia through the lens of predominant behavior change, health communication and health promotion models (e.g., Health Belief Model, Theory of Reasoned Action/Theory of Planned Behavior, Social Cognitive Model, Diffusion of Innovations, and Precede-Proceed Model). Students then elucidate the implications of these behavioral and social factors on health and identify opportunities to address them, including health education and health promotion programs and national/global level policy changes. Evaluations include quizzes or examination, an annotated bibliography, individual and group presentations. Prerequisite: None. Restricted to MPH students or program permission.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Masters level,Public Health Program's core or track elective course
INTRODUCTORY BIOSTATISTICS,PH319,No prerequisite(s) for this course,0,15w,3,AUA Main Campus,Yeva Sahakyan,Not specified,Not specified,"This course provides the foundation for further study of biostatistics, the science of statistics applied to the health of populations. The course covers the basic tools for the collection, analysis, and presentation of population health data. The course begins with probability and distributions and progresses to confidence intervals and hypothesis testing of discrete and continuous variables in one and two sample setting. Evaluations include problem sets, quizzes, and examinations. Prerequisite: None. Restricted to MPH students or program permission.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Masters level,Public Health Program's core or track elective course
INFERENTIAL BIOSTATISTICS,PH321,PH319,0,15w,2,AUA Main Campus,Anya Agopian,Not specified,Not specified,"This course furthers the study of biostatistics, focusing on inferential reasoning and simple regression. Topics include hypothesis testing, and methods for the comparison of discrete and continuous data including ANOVA, correlation, regression and chi-square statistic. Central to these inferential reasoning skills is assessing the impact of chance and variability on the interpretation of research findings and subsequent recommendations for public health practice and policy. Evaluations include problem sets, quizzes, and examinations. Prerequisite: PH 319. Restricted to MPH students in the Evidence-based Practice Concentration or program permission.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Masters level,Public Health Program's core or track elective course
EPIDEMIOLOGY,PH322,No prerequisite(s) for this course,0,15w,3,AUA Main Campus,Anya Agopian,Not specified,Not specified,"This course introduces the principles and methods of epidemiologic investigation of infectious and non-infectious diseases. Epidemiologic reasoning and assessment is demonstrated through faculty lectures and problem solving exercises (case studies, quizzes, and examinations). Prerequisite: None. Restricted to MPH students or program permission.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Masters level,Public Health Program's core or track elective course
BIOSTATISTICS: MODELING AND SAMPLING,PH323,"PH319,PH321",0,15w,4,AUA Main Campus,Martina Pavlicova,Not specified,Not specified,"This course advances the concepts of linear regression developed in PH 321 to a unified perspective of generalized linear models, including multivariable regression, logistic regression, and survival models. The course addresses issues of sample size, and power calculations with respect to a number of study designs. Students learn the concept of interaction terms in the models. Students will analyze established and recently collected data sets using these methods. Evaluations include homework, quizzes, and examinations. Prerequisite: PH 319, 321. Restricted to MPH students or program permission.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Masters level,Public Health Program's core or track elective course
INTERMEDIATE EPIDEMIOLOGY,PH324,PH322,0,15w,3,AUA Main Campus,Anya Agopian,Not specified,Not specified,This course advances introductory coursework in epidemiology and survey design and sampling. Students learn to assess the impact of bias and confounding and techniques for mitigating those effects in the both design and analyses. Special consideration is given to the role of case-control studies in addressing a variety of health problems. Evaluation is based upon examinations and practical exercises. Prerequisites: PH322 and PH 352. Restricted to MPH students in the Evidence-based Practice Concentration or program permission.,Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Masters level,Public Health Program's core or track elective course
HEALTH ECONOMICS AND FINANCE,PH330,No prerequisite(s) for this course,0,Not specified,3,AUA Main Campus,Adam Atherly,TBD,Not specified,"Health economics applies the tools of economics to issues of the organization, delivery, and financing of health care. Students will apply economic concepts to the health care sector, describe/diagram the system of health care financing and delivery arrangements in the health care sector, and analyze the role of economic factors in the development of public policy concerning health and health care. Evaluations include case studies, in-class exercises, quizzes, and examinations. Prerequisite: None. Restricted to MPH students or program permission.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Masters level,Public Health Program's core or track elective course
QUALITATIVE RESEARCH METHODS,PH351,PH310,0,15w,3,AUA Main Campus,Kaitlyn Atkins,Not specified,Not specified,"This course builds advanced competence in the methods and techniques used in conducting qualitative research. Students will plan and implement a qualitative study to encompass the collection, management, and analysis of qualitative data useful for the design, implementation and evaluation of public health programs. Data collection methods will include individual in-depth interviews, individual and group/social observations, and focus group discussions. Note: The formative research projects form the basis of a quantitative survey instrument developed during PH352. Prerequisites: PH310. Restricted to MPH students in the Evidence-based Practice Concentration or program permission.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Masters level,Public Health Program's core or track elective course
SURVEY RESEARCH METHODS,PH352,No prerequisite(s) for this course,0,15w,3,AUA Main Campus,Lusine Abrahamyan,Not specified,Not specified,"This course builds advanced competence through the application of health survey research methods in the field. Students will plan and implement a quantitative survey focusing on design, implementation, and evaluation of a health survey field project. Topics include probability sampling, questionnaire design, interview techniques, coding procedures, and planning for the analysis and presentation of the findings. Evaluation is based upon an examination, participation in field projects, a written report, and a presentation. Note: The data generated during the survey project could be analyzed during PH323. Prerequisites: PH351. Restricted to MPH students in the Evidence-based Practice Concentration or program permission.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Masters level,Public Health Program's core or track elective course
TRAINING OF TRAINERS,PH360,No prerequisite(s) for this course,0,15w,3,AUA Main Campus,Ara Tekian,Not specified,Not specified,"This course prepares MPH graduates to effectively respond to the enhanced job responsibility of providing formal and informal in-service training to interprofessional colleagues and co-workers. The course will prepare students to develop objective-based learning modules and to develop and refine effective presentation and teaching skills. Evaluation is based upon short quizzes, presentations, and the development and delivery of a brief instructional module relevant to the student’s professional objectives.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Masters level,Public Health Program's core or track elective course
MPH INTEGRATING EXPERIENCE PROJECT IMPLEMENTATION – 1,PH391,PH390,0,15w,3,AUA Main Campus,Tsovinar Harutyunyan,Not specified,Not specified,"Under the guidance of a faculty mentor, students will concentrate on implementing and completing the Masters Project defined during course PH 390.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Masters level,Public Health Program's core or track elective course
INTRODUCTION TO POLITICAL SCIENCE,PSIA101,No prerequisite(s) for this course,0,15W,3,AUA Main Campus,Yevgenya Paturyan,"MON 1:30pm-2:20pm, WED 1:30pm-2:20pm, FRI 1:30pm-2:20pm",Classroom 214W Paramaz Avedissian Building,"This course provides students with an introduction to the approaches in the study of politics. The course explores major concepts prevalent in political science including power, democracy, political culture and constitutionalism. It identifies the major fields of study within the discipline and familiarizes students with the differences in approach that each follow from a comparative perspective. Students are expected to complete regular assignments in order to acquire knowledge and to practice skills discussed in class. (Not open to PG students)",This course belongs to theme 4.,202425,1,Not open to PG students,Lower level,Political Science and International Affairs Program's core or track elective course
